Number;Group;GroupName;WindowPosition;WindowWidth;Local_Rx;Local_Ry;Local_Rz;Local_tx;Local_ty;Local_tz;Setup_Rx;Setup_Ry;Setup_Rz
1;0;;5;3;0;0;0;0;0;0;0;0;0
2;0;;5;3;0;0;0;0;0;0;0;0;0
3;0;;5;3;0;0;0;0;0;0;0;0;0
4;0;;5;3;0;0;0;0;0;0;0;0;0
5;0;;5;3;0;0;0;0;0;0;0;0;0
6;0;;5;3;0;0;0;0;0;0;0;0;0
7;0;;5;3;0;0;0;0;0;0;0;0;0
8;0;;5;3;0;0;0;0;0;0;0;0;0
9;0;;5;3;0;0;0;0;0;0;0;0;0
10;0;;5;3;0;0;0;0;0;0;0;0;0
11;0;;5;3;0;0;0;0;0;0;0;0;0
12;0;;5;3;0;0;0;0;0;0;0;0;0
13;0;;5;3;0;0;0;0;0;0;0;0;0
14;0;;5;3;0;0;0;0;0;0;0;0;0
15;0;;5;3;0;0;0;0;0;0;0;0;0
16;1;TBEL;3.5;1.75;-180;0;-180;10.5;16.5;22;0;0;0
17;1;TBEL;5;2.25;-180;0;-180;35.5;16.5;22;0;0;0
18;1;TBEL;4.3777775;2.25;-180;0;-180;21.5;41;22;0;0;0
19;2;TBEM;3.75;2.5;-180;0;-180;10.5;16.5;22;0;0;0
20;2;TBEM;5.25;2.25;-180;0;-180;35.5;16.5;22;0;0;0
21;2;TBEM;5.5;2.25;-180;0;-180;21.5;41;22;0;0;0
22;3;TBM;3;2;-180;0;-180;16.5;-20;22;0;0;0
23;3;TBM;5;2.25;-180;0;-180;27;0;22;0;0;0
24;3;TBM;3.25;1.75;-180;0;-180;16.5;20;22;0;0;0
25;3;TBM;5;1.5;-180;0;-180;27;40;22;0;0;0
26;3;TBM;4;2;-180;0;-180;16.5;60;22;0;0;0
27;4;ANK;3.75;1.75;-180;0;-180;18.5;37;22;0;0;0
28;4;ANK;7;2.5;-180;0;-180;7.5;17;22;0;0;0
29;4;ANK;4.25;1.75;-180;0;-180;30;17;22;0;0;0
30;4;ANK;3.25;1.5;-180;0;-180;18.5;-3;22;0;0;0
;;;;;;;;;;;;;
